mv_eth,1461936196.392607
mv_eth,1461935289.595474
mv_eth,1461935345.809333
mv_eth,1461935443.362133
mv_eth,1461935607.345142
mv_ib,1461933567.769816
mv_ib,1461933594.065133
mv_ib,1461933646.377052
mv_ib,1461933737.643813
mv_ib,1461933906.052494
mv_n1,1461931029.920940
mv_n1,1461931048.337391
mv_n1,1461931084.022056
mv_n1,1461931138.148298
mv_n1,1461931275.920311
op_ib,1461939461.094028
op_ib,1461939490.788182
op_ib,1461939556.108198
op_ib,1461940148.384914
op_ib,1461940389.103919
op_eth,1461941984.669591
op_eth,1461942003.214928
op_eth,1461942032.220032
op_eth,1461942106.330707
op_eth,1461942226.824557
op_n1,1461938177.274121
op_n1,1461938212.517918
op_n1,1461938246.614996
op_n1,1461938300.692114
op_n1,1461938399.094876
