mv_eth,1461934607.381596
mv_eth,1461934642.301441
mv_eth,1461934725.425677
mv_eth,1461934941.195903
mv_eth,1461935203.630366
mv_ib,1461931574.561271
mv_ib,1461931651.279518
mv_ib,1461931727.618382
mv_ib,1461931879.621030
mv_ib,1461933356.952479
mv_n1,1461930671.620421
mv_n1,1461930689.520367
mv_n1,1461930738.673010
mv_n1,1461930828.102968
mv_n1,1461930999.229128
op_ib,1461938496.893156
op_ib,1461938538.214951
op_ib,1461938617.654336
op_ib,1461938803.879084
op_ib,1461939224.928524
op_eth,1461940732.337245
op_eth,1461940755.644484
op_eth,1461940805.402653
op_eth,1461940906.265541
op_eth,1461941176.572696
op_n1,1461937821.352540
op_n1,1461937841.711775
op_n1,1461937885.571250
op_n1,1461937988.298738
op_n1,1461938154.019548
